order_id,cust_id,prod_id,quantity,order_date
100078,3498,65,5,2023-05-30
100079,3531,25,1,2023-08-22
100080,2001,13,5,2023-10-24
100081,4377,80,1,2023-06-28
100082,1815,66,1,2023-06-20
100083,2284,62,4,2023-07-06
100084,1331,9,4,2023-08-10
100085,3857,45,1,2023-02-09
100086,4306,68,3,2023-05-14
100087,952,30,4,2023-01-30
100088,4804,85,1,2023-03-14
100089,786,45,1,2023-04-10
100090,4253,47,1,2023-11-22
100091,1844,69,5,2023-03-12
100092,2506,46,4,2023-11-22
100093,952,15,3,2023-04-03
100094,3302,89,1,2023-07-06
100095,352,5,2,2023-12-01
100096,4122,85,1,2023-05-16
100097,337,28,3,2023-10-26
100098,4404,48,5,2023-10-16
100099,3545,81,5,2023-05-22
100100,64,19,4,2023-07-05
100101,3700,72,5,2023-11-28
100102,3773,83,2,2023-05-07
100103,404,4,4,2023-09-15
100104,2386,83,2,2023-10-31
100105,405,90,4,2023-08-21
100106,49,94,4,2023-12-17
100107,1080,98,5,2023-04-20
100108,1800,71,1,2023-11-09
100109,2809,33,1,2023-12-10
100110,2707,49,3,2023-06-02
100111,3842,60,2,2023-09-12
100112,3597,49,2,2023-03-24
100113,1870,57,4,2023-04-29
100114,2503,58,1,2023-08-08
100115,1900,54,5,2023-12-16
100116,1258,15,2,2023-02-03
100117,4171,89,3,2023-12-07
100118,3580,41,4,2023-10-30
100119,2644,3,5,2023-08-02
100120,4779,41,1,2023-08-31
100121,1299,28,5,2023-10-11
100122,4792,33,1,2023-10-09
100123,4850,37,3,2023-02-21
100124,4700,49,2,2023-12-16
100125,3574,66,4,2023-09-10
100126,3593,30,1,2023-11-09
100127,1589,4,2,2023-02-07
100128,1326,39,2,2023-11-10
100129,427,96,3,2023-08-06
100130,697,40,3,2023-04-14
100131,2614,83,5,2023-05-17
100132,3016,68,4,2023-05-09
100133,2110,87,2,2023-05-16
100134,3767,54,5,2023-03-10
100135,4997,58,1,2023-05-25
100136,1462,60,1,2023-04-22
100137,4294,3,5,2023-03-13
100138,4170,24,5,2023-05-05
100139,3978,2,3,2023-12-09
100140,3455,57,4,2023-06-29
100141,1075,98,5,2023-01-24
100142,2348,49,1,2023-11-08
100143,4783,72,5,2023-11-15
100144,720,18,3,2023-02-17
100145,494,29,2,2023-01-03
100146,3460,45,2,2023-05-01
100147,2649,9,1,2023-09-23
100148,4741,93,5,2023-09-29
100149,752,16,3,2023-10-19
100150,1569,89,3,2023-03-29
100151,3139,86,3,2023-07-01
100152,135,83,4,2023-03-16
100153,300,28,1,2023-05-30
100154,4810,1,4,2023-03-23
100155,3052,49,4,2023-12-31
100156,2744,43,2,2023-12-13
100157,4466,62,4,2023-10-01
100158,4934,51,3,2023-06-11
100159,854,53,1,2023-05-12
100160,4419,22,4,2023-09-28
100161,1330,20,4,2023-09-06
100162,1614,61,3,2023-04-08
100163,4259,87,2,2023-02-26
100164,2558,1,5,2023-12-17
100165,3595,81,4,2023-08-31
100166,4442,92,1,2023-11-04
100167,4803,21,3,2023-07-08
100168,143,50,2,2023-08-20
100169,829,9,5,2023-06-29
100170,4320,83,4,2023-08-02
100171,1963,44,2,2023-06-26
100172,2257,7,4,2023-07-12
100173,1386,73,2,2023-10-18
100174,3707,51,3,2023-12-10
100175,2717,93,5,2023-04-10
100176,686,52,2,2023-08-25
100177,1972,41,3,2023-10-27
100178,198,17,3,2023-02-26
100179,1448,77,5,2023-10-30
100180,4164,15,1,2023-07-18
100181,3189,49,2,2023-05-08
100182,1674,95,3,2023-12-06
100183,2589,14,3,2023-01-26
100184,2833,90,2,2023-07-16
100185,228,3,4,2023-11-16
100186,1448,4,1,2023-07-27
100187,2712,59,3,2023-02-27
100188,656,46,4,2023-01-11
100189,1067,4,1,2023-02-01
100190,1610,100,4,2023-09-09
100191,3901,88,2,2023-10-10
100192,3703,10,1,2023-12-04
100193,3826,87,1,2023-12-13
100194,1575,50,1,2023-12-01
100195,948,100,5,2023-02-27
100196,1765,39,1,2023-05-19
100197,2298,49,5,2023-10-04
100198,556,93,2,2023-08-03
100199,895,32,4,2023-08-19
100200,1547,6,5,2023-03-04
100201,176,77,2,2023-12-02
100202,3486,28,2,2023-04-27
100203,3066,59,4,2023-05-12
100204,2034,51,3,2023-11-03
100205,2441,43,3,2023-07-12
100206,2453,22,1,2023-01-15
100207,4440,9,5,2023-06-13
100208,4798,87,3,2023-12-24
100209,4474,27,3,2023-02-28
100210,4244,93,5,2023-06-13
100211,3496,25,3,2023-03-24
100212,1694,72,2,2023-11-05
100213,1868,74,4,2023-09-19
100214,2698,52,2,2023-10-25
100215,2772,31,3,2023-07-27
100216,299,49,3,2023-05-17
100217,4741,23,1,2023-09-04
100218,2211,97,4,2023-04-05
100219,572,88,3,2023-03-22
100220,3595,100,2,2023-07-28
100221,88,58,5,2023-09-21
100222,4296,54,1,2023-09-25
100223,2788,82,3,2023-03-12
100224,1784,53,3,2023-12-14
100225,627,24,2,2023-01-01
100226,1292,30,5,2023-03-27
100227,1956,100,4,2023-02-14
100228,2119,54,1,2023-11-18
100229,3339,82,1,2023-04-07
100230,1327,10,5,2023-06-24
100231,4373,96,1,2023-02-07
100232,2307,52,3,2023-04-24
100233,3171,46,3,2023-11-28
100234,2387,39,5,2023-05-09
100235,1639,9,1,2023-05-04
100236,4537,5,3,2023-10-17
100237,578,3,4,2023-12-10
100238,1212,75,5,2023-11-09
100239,2691,10,5,2023-07-02
100240,4690,75,2,2023-09-29
100241,2899,77,2,2023-02-09
100242,1474,21,2,2023-02-28
100243,3028,28,1,2023-02-09
100244,4899,79,1,2023-09-08
100245,401,60,4,2023-08-27
100246,3034,7,5,2023-08-11
100247,3360,54,3,2023-10-07
100248,1713,31,1,2023-08-23
100249,16,2,2,2023-12-16
100250,2441,73,3,2023-09-08
100251,4911,98,5,2023-12-08
100252,3509,24,4,2023-11-01
100253,3992,49,3,2023-11-30
100254,2861,28,2,2023-07-10
100255,1138,47,4,2023-12-05
100256,4211,42,5,2023-07-01
100257,4818,37,3,2023-06-18
100258,1906,92,3,2023-08-26
100259,757,95,4,2023-11-23
100260,3446,20,1,2023-06-03
100261,836,63,3,2023-04-14
100262,3687,13,3,2023-08-22
100263,470,94,4,2023-05-19
100264,3200,79,5,2023-11-02
100265,3554,77,2,2023-10-20
100266,349,65,2,2023-10-08
100267,2645,42,3,2023-11-06
100268,2160,69,2,2023-04-13
100269,4020,76,4,2023-05-23
100270,1595,73,1,2023-12-27
100271,2481,7,4,2023-04-11
100272,28,13,4,2023-11-06
100273,2650,54,1,2023-03-23
100274,3361,83,5,2023-03-14
100275,612,45,3,2023-09-25
100276,322,84,5,2023-09-09
100277,2955,13,5,2023-04-17
100278,4145,24,3,2023-01-28
100279,1423,55,4,2023-01-18
100280,2681,28,5,2023-06-05
100281,3485,56,4,2023-01-02
100282,1370,5,2,2023-12-22
100283,3683,36,5,2023-08-02
100284,1867,6,1,2023-12-20
100285,1630,32,1,2023-01-07
100286,3700,13,1,2023-01-29
100287,198,45,4,2023-07-15
100288,1728,31,2,2023-03-24
100289,1875,63,3,2023-03-11
100290,4427,37,3,2023-01-08
100291,3366,19,1,2023-08-29
100292,4827,39,1,2023-06-11
100293,725,41,1,2023-09-26
100294,2290,49,4,2023-08-14
100295,1379,19,5,2023-09-05
100296,3701,8,1,2023-07-07
100297,2484,83,1,2023-02-20
100298,2702,36,1,2023-04-15
100299,332,19,5,2023-03-12
100300,3732,22,5,2023-08-15
100301,2923,94,1,2023-09-13
100302,2812,49,2,2023-02-18
100303,1633,54,4,2023-03-30
100304,1746,39,2,2023-09-19
100305,1825,97,3,2023-12-12
100306,2425,68,4,2023-08-31
100307,4357,5,4,2023-04-14
100308,2184,97,5,2023-06-03
100309,2381,54,5,2023-01-05
100310,3523,7,2,2023-06-13
100311,1806,6,2,2023-12-22
100312,1484,34,4,2023-03-25
100313,3374,80,4,2023-01-11
100314,4716,91,3,2023-06-22
100315,4663,73,2,2023-12-07
100316,130,77,1,2023-08-10
100317,245,21,4,2023-09-05
100318,1456,70,1,2023-10-06
100319,440,93,4,2023-04-27
100320,2059,76,5,2023-10-27
100321,3250,55,2,2023-01-29
100322,584,37,5,2023-09-02
100323,4897,91,2,2023-01-29
100324,61,43,4,2023-10-18
100325,3593,5,3,2023-03-22
100326,1543,82,5,2023-10-25
100327,2417,28,3,2023-06-10
100328,448,17,1,2023-08-05
100329,1315,26,2,2023-10-22
100330,2016,46,1,2023-04-03
100331,1611,82,1,2023-01-30
100332,2676,34,1,2023-02-07
100333,4289,15,5,2023-01-14
100334,4829,12,4,2023-04-24
100335,2448,45,2,2023-02-27
100336,910,57,3,2023-05-10
100337,2169,41,5,2023-11-27
100338,221,13,3,2023-12-29
100339,3516,59,2,2023-02-09
100340,2822,5,5,2023-11-04
100341,1978,21,5,2023-09-01
100342,227,66,4,2023-02-03
100343,4994,99,1,2023-12-04
100344,3003,79,2,2023-09-02
100345,1692,70,5,2023-01-21
100346,1001,50,4,2023-11-29
100347,1467,15,3,2023-11-04
100348,1519,100,2,2023-11-18
100349,3843,28,1,2023-02-12
100350,4427,94,3,2023-01-17
100351,205,90,5,2023-03-08
100352,2228,38,5,2023-06-29
100353,2235,93,3,2023-06-25
100354,4587,62,4,2023-07-14
100355,2681,99,2,2023-03-20
100356,4073,2,1,2023-12-14
100357,4957,16,3,2023-03-31
100358,4165,53,2,2023-11-10
100359,4215,82,5,2023-10-14
100360,3258,44,5,2023-06-09
100361,1194,2,4,2023-06-29
100362,4029,64,4,2023-10-09
100363,1882,56,4,2023-07-03
100364,2533,31,2,2023-12-16
100365,4708,73,2,2023-03-28
100366,578,13,5,2023-09-02
100367,862,22,4,2023-10-11
100368,4605,29,3,2023-10-02
100369,2039,80,5,2023-02-08
100370,2943,48,3,2023-08-10
100371,2189,73,3,2023-07-31
100372,1820,96,3,2023-10-17
100373,524,61,5,2023-06-07
100374,3803,26,5,2023-10-09
100375,142,91,1,2023-07-04
100376,528,15,1,2023-11-20
100377,1662,59,1,2023-04-05
100378,4008,63,5,2023-01-17
100379,3267,28,2,2023-12-30
100380,2489,71,4,2023-01-28
100381,3454,41,1,2023-07-09
100382,3105,16,5,2023-10-23
100383,4882,22,1,2023-09-17
100384,22,12,3,2023-04-21
100385,2341,45,5,2023-07-08
100386,3910,55,3,2023-06-11
100387,1967,27,3,2023-11-15
100388,1763,59,1,2023-08-08
100389,1524,79,2,2023-04-12
100390,191,55,4,2023-06-13
100391,972,28,3,2023-04-11
100392,3173,72,5,2023-06-04
100393,2992,49,1,2023-02-03
100394,2028,81,2,2023-07-22
100395,4564,22,4,2023-02-28
100396,3761,44,5,2023-07-15
100397,2508,33,2,2023-04-12
100398,3992,70,3,2023-09-08
100399,3332,27,3,2023-07-30
100400,765,89,4,2023-06-14
100401,2911,61,1,2023-08-12
100402,3755,80,3,2023-05-03
100403,4557,37,3,2023-01-27
100404,2638,96,1,2023-07-02
100405,4799,56,5,2023-07-21
100406,2175,99,5,2023-07-30
100407,1669,60,2,2023-08-21
100408,1696,62,2,2023-07-27
100409,4910,34,4,2023-02-13
100410,3576,81,3,2023-11-26
100411,2313,9,3,2023-12-20
100412,632,42,5,2023-12-30
100413,4249,81,4,2023-07-19
100414,3239,67,1,2023-07-29
100415,3845,32,4,2023-08-02
100416,3876,94,2,2023-04-20
100417,4045,61,4,2023-02-17
100418,34,59,1,2023-09-28
100419,3895,69,5,2023-05-08
100420,3398,34,2,2023-05-31
100421,3762,11,2,2023-04-09
100422,1787,46,3,2023-06-07
100423,1071,96,1,2023-10-19
100424,4616,94,2,2023-09-12
100425,264,92,3,2023-10-12
100426,3645,56,5,2023-11-25
100427,1009,92,4,2023-08-20
100428,4740,42,1,2023-12-30
100429,1262,32,1,2023-09-03
100430,3492,37,5,2023-10-02
100431,4719,47,2,2023-10-01
100432,4602,89,4,2023-02-16
100433,1734,96,3,2023-02-26
100434,175,87,5,2023-12-23
100435,727,61,1,2023-09-01
100436,515,88,3,2023-12-31
100437,3124,85,2,2023-08-12
100438,1506,100,4,2023-08-26
100439,1463,81,4,2023-01-03
100440,4303,94,1,2023-04-23
100441,104,79,4,2023-08-23
100442,2829,86,2,2023-12-13
100443,128,49,2,2023-04-08
100444,4649,49,2,2023-04-27
100445,224,86,2,2023-06-30
100446,262,60,2,2023-12-23
100447,4742,16,2,2023-02-25
100448,1787,18,2,2023-07-19
100449,1759,17,2,2023-01-23
100450,27,31,5,2023-01-17
100451,1689,70,1,2023-05-21
100452,669,22,4,2023-11-15
100453,4701,19,2,2023-11-29
100454,2742,93,3,2023-08-07
100455,2032,95,4,2023-03-19
100456,1849,51,1,2023-08-06
100457,3984,23,5,2023-10-15
100458,1819,83,1,2023-09-26
100459,1282,29,4,2023-04-17
100460,4923,5,5,2023-01-10
100461,4772,34,1,2023-03-04
100462,4338,13,4,2023-02-05
100463,3234,57,2,2023-04-18
100464,2433,45,5,2023-05-13
100465,417,26,4,2023-01-25
100466,1892,20,5,2023-01-24
100467,419,73,1,2023-06-16
100468,4323,9,3,2023-11-26
100469,4019,52,5,2023-11-06
100470,1853,1,1,2023-05-09
100471,1268,1,1,2023-12-03
100472,4065,98,5,2023-07-04
100473,3459,21,2,2023-12-05
100474,1662,3,4,2023-05-25
100475,1880,96,5,2023-05-13
100476,3707,96,1,2023-02-01
100477,2080,55,1,2023-01-23
100478,3649,33,4,2023-11-22
100479,3824,100,4,2023-06-19
100480,1466,16,5,2023-09-21
100481,2442,73,5,2023-06-23
100482,350,19,3,2023-03-27
100483,2788,68,4,2023-10-19
100484,642,19,3,2023-04-13
100485,4399,58,2,2023-10-08
100486,3019,89,4,2023-05-12
100487,50,61,2,2023-08-18
100488,4564,78,3,2023-01-01
100489,2045,51,4,2023-10-16
100490,3128,27,2,2023-11-22
100491,1110,80,5,2023-05-19
100492,4451,18,1,2023-07-30
100493,1867,100,5,2023-06-20
100494,2400,56,4,2023-06-13
100495,1647,85,1,2023-08-12
100496,3713,37,3,2023-08-21
100497,1180,27,3,2023-12-09
100498,2273,51,3,2023-06-12
100499,3571,38,4,2023-01-28
100500,3917,25,2,2023-08-20
100501,264,65,4,2023-05-25
100502,2494,36,3,2023-06-22
100503,1803,29,1,2023-04-20
100504,521,20,1,2023-03-06
100505,1492,82,3,2023-04-09
100506,2094,86,3,2023-06-18
100507,3297,27,5,2023-01-22
100508,224,80,4,2023-04-13
100509,2345,14,1,2023-10-08
100510,1123,6,5,2023-01-11
100511,1377,90,1,2023-11-26
100512,1876,92,2,2023-03-06
100513,525,21,2,2023-09-23
100514,4935,36,3,2023-12-10
100515,56,53,2,2023-05-04
100516,3342,49,5,2023-08-21
100517,3854,72,2,2023-10-05
100518,897,59,1,2023-05-11
100519,4385,74,1,2023-11-01
100520,2732,15,2,2023-06-25
100521,4898,100,4,2023-07-09
100522,281,57,2,2023-11-28
100523,3172,35,1,2023-08-07
100524,136,63,4,2023-09-27
100525,4673,97,5,2023-02-24
100526,4694,44,2,2023-06-13
100527,2938,98,2,2023-01-18
100528,425,99,3,2023-11-26
100529,1978,86,4,2023-06-13
100530,1372,29,1,2023-06-25
100531,3276,24,2,2023-09-09
100532,2802,42,3,2023-02-03
100533,1418,31,3,2023-02-10
100534,4067,32,3,2023-07-08
100535,4107,73,5,2023-04-24
100536,841,50,1,2023-09-07
100537,187,79,5,2023-05-08
100538,2719,82,3,2023-09-15
100539,3835,74,5,2023-09-15
100540,1160,12,3,2023-05-09
100541,4695,96,5,2023-01-27
100542,4485,87,5,2023-07-15
100543,2063,64,5,2023-05-09
100544,4748,86,1,2023-06-09
100545,3670,4,2,2023-01-29
100546,4506,1,4,2023-12-07
100547,3515,49,5,2023-03-04
100548,1170,13,4,2023-07-04
100549,471,1,5,2023-12-22
100550,450,32,1,2023-07-29
100551,2482,93,1,2023-10-02
100552,1347,42,4,2023-10-06
100553,4178,18,3,2023-12-08
100554,995,51,3,2023-02-22
100555,599,82,2,2023-02-20
100556,3875,35,2,2023-12-19
100557,1401,48,5,2023-03-09
100558,2065,95,5,2023-04-27
100559,143,25,4,2023-11-15
100560,3898,2,4,2023-04-09
100561,4078,46,1,2023-04-09
100562,117,75,4,2023-03-06
100563,2854,98,4,2023-11-05
100564,1811,85,2,2023-01-19
100565,2925,74,5,2023-11-23
100566,1665,52,4,2023-01-17
100567,2759,10,5,2023-10-08
100568,3004,56,2,2023-02-08
100569,2513,69,1,2023-12-05
100570,893,50,2,2023-03-27
100571,1199,91,3,2023-07-20
100572,3002,63,4,2023-11-17
100573,4221,55,2,2023-08-13
100574,860,64,1,2023-04-05
100575,4980,57,4,2023-08-02
100576,4722,22,4,2023-06-15
100577,4958,45,3,2023-05-27
100578,2091,36,4,2023-08-02
100579,733,11,3,2023-10-18
100580,1397,47,3,2023-07-22
100581,1397,40,4,2023-08-29
100582,3737,79,1,2023-01-16
100583,2976,9,1,2023-05-22
100584,3522,56,5,2023-12-01
100585,654,25,1,2023-11-13
100586,531,31,2,2023-06-11
100587,146,30,1,2023-03-26
100588,3987,12,3,2023-03-27
100589,2656,98,5,2023-10-07
100590,3903,60,1,2023-12-12
100591,2397,83,3,2023-01-05
100592,1358,86,5,2023-12-14
100593,907,14,5,2023-06-30
100594,1803,47,1,2023-04-14
100595,4799,30,5,2023-09-21
100596,1654,29,4,2023-05-20
100597,873,72,2,2023-07-22
100598,3012,43,4,2023-12-20
100599,906,82,3,2023-05-06
100600,3713,4,1,2023-11-24
100601,3831,4,5,2023-08-06
100602,4122,66,2,2023-06-30
100603,1671,62,4,2023-09-25
100604,982,16,4,2023-05-13
100605,872,46,1,2023-04-22
100606,1115,94,3,2023-07-06
100607,4493,29,5,2023-10-10
100608,1749,35,4,2023-08-07
100609,709,66,5,2023-11-11
100610,2300,22,1,2023-01-24
100611,3449,72,3,2023-07-12
100612,4049,58,3,2023-01-28
100613,701,20,2,2023-03-17
100614,19,90,1,2023-11-30
100615,4760,36,2,2023-04-13
100616,3518,46,4,2023-11-17
100617,4233,58,3,2023-01-11
100618,524,7,5,2023-02-05
100619,2660,47,5,2023-10-24
100620,4207,4,1,2023-09-07
100621,2394,18,1,2023-02-08
100622,216,82,2,2023-02-19
100623,3235,30,5,2023-01-26
100624,1273,55,4,2023-12-26
100625,3657,30,5,2023-06-01
100626,1746,90,5,2023-06-29
100627,1910,9,5,2023-06-14
100628,4061,55,4,2023-11-12
100629,3877,68,4,2023-09-10
100630,414,82,1,2023-06-12
100631,4455,74,1,2023-01-19
100632,3210,64,4,2023-07-15
100633,4900,1,4,2023-04-24
100634,4549,83,3,2023-05-27
100635,254,54,5,2023-08-05
100636,4235,13,1,2023-06-03
100637,1947,37,3,2023-04-02
100638,1490,50,4,2023-04-24
100639,2212,78,5,2023-01-08
100640,4650,90,3,2023-10-16
100641,3143,17,2,2023-01-27
100642,2925,41,1,2023-01-04
100643,4393,55,5,2023-10-12
100644,1368,98,2,2023-01-21
100645,4197,100,2,2023-09-15
100646,831,15,5,2023-02-11
100647,1926,90,2,2023-05-04
100648,1559,45,5,2023-06-22
100649,4756,35,2,2023-08-19
100650,2077,43,3,2023-04-18
100651,3119,100,3,2023-09-26
100652,4444,46,5,2023-03-04
100653,3402,71,4,2023-12-19
100654,411,79,4,2023-12-11
100655,3539,87,1,2023-10-24
100656,1445,50,1,2023-08-07
100657,3912,80,5,2023-10-03
100658,888,21,4,2023-04-02
100659,4731,24,2,2023-01-27
100660,2258,30,2,2023-04-08
100661,4100,74,5,2023-04-24
100662,456,15,3,2023-12-20
100663,542,49,3,2023-12-13
100664,4752,5,1,2023-12-01
100665,3223,62,5,2023-05-04
100666,174,39,2,2023-11-11
100667,4358,30,2,2023-12-10
100668,2704,24,2,2023-01-03
100669,2938,62,1,2023-08-03
100670,2230,72,3,2023-12-25
100671,515,53,5,2023-08-24
100672,4316,82,1,2023-12-25
100673,260,77,5,2023-07-28
100674,2183,90,5,2023-09-08
100675,2977,12,1,2023-12-22
100676,680,5,3,2023-11-10
100677,457,34,4,2023-11-18
100678,3865,68,3,2023-08-15
100679,1942,95,4,2023-11-26
100680,2610,9,1,2023-09-29
100681,630,16,2,2023-05-06
100682,143,61,2,2023-11-29
100683,4056,42,3,2023-03-28
100684,489,76,3,2023-04-05
100685,295,20,5,2023-09-30
100686,2149,88,3,2023-05-10
100687,4022,51,1,2023-02-23
100688,2461,97,1,2023-01-19
100689,42,82,2,2023-05-10
100690,1821,80,3,2023-11-27
100691,4376,29,1,2023-11-05
100692,1387,32,4,2023-10-24
100693,2276,34,4,2023-05-01
100694,241,36,3,2023-11-11
100695,2025,21,3,2023-08-25
100696,4821,7,2,2023-08-24
100697,3377,85,4,2023-02-28
100698,4445,22,2,2023-12-23
100699,4020,65,2,2023-03-12
100700,849,1,2,2023-11-27
100701,1491,100,4,2023-03-14
100702,3462,21,1,2023-06-06
100703,3756,38,5,2023-05-02
100704,4316,37,5,2023-08-03
100705,2158,52,3,2023-07-31
100706,3721,76,5,2023-12-13
100707,1457,21,3,2023-01-12
100708,3496,92,2,2023-09-19
100709,1530,32,1,2023-09-04
100710,2324,28,2,2023-11-20
100711,4130,94,4,2023-03-08
100712,3126,22,5,2023-11-11
100713,1322,30,5,2023-02-10
100714,929,49,4,2023-01-04
100715,1028,44,2,2023-04-06
100716,996,65,4,2023-10-29
100717,4082,75,4,2023-09-23
100718,4395,25,2,2023-07-24
100719,3026,28,4,2023-08-05
100720,4213,8,2,2023-07-17
100721,1121,78,2,2023-02-04
100722,189,34,3,2023-03-09
100723,1610,16,3,2023-03-09
100724,926,19,2,2023-12-24
100725,4266,2,2,2023-07-16
100726,1280,8,2,2023-05-29
100727,2875,74,3,2023-06-23
100728,351,59,5,2023-02-16
100729,2299,3,1,2023-04-30
100730,1475,53,1,2023-08-11
100731,3139,9,3,2023-03-08
100732,3422,6,4,2023-03-04
100733,2845,56,3,2023-06-14
100734,2156,69,2,2023-11-20
100735,4898,83,5,2023-04-24
100736,4695,38,4,2023-10-31
100737,201,61,5,2023-07-25
100738,2764,8,5,2023-07-10
100739,3013,70,2,2023-09-24
100740,2075,99,5,2023-01-28
100741,4018,85,5,2023-02-07
100742,801,30,1,2023-04-01
100743,3993,54,5,2023-01-06
100744,2881,41,1,2023-01-22
100745,2149,92,2,2023-02-16
100746,4650,50,4,2023-09-05
100747,3714,44,3,2023-11-06
100748,3452,64,5,2023-11-28
100749,917,64,3,2023-03-20
100750,433,52,5,2023-01-27
100751,1621,13,4,2023-04-12
100752,2599,50,2,2023-11-02
100753,3407,9,5,2023-02-19
100754,3885,29,1,2023-10-22
100755,4231,20,4,2023-09-24
100756,3447,68,5,2023-01-19
100757,2743,40,5,2023-02-17
100758,473,38,2,2023-10-13
100759,2633,67,2,2023-02-28
100760,4304,62,4,2023-05-29
100761,546,50,3,2023-08-25
100762,307,86,5,2023-11-21
100763,3838,11,5,2023-08-08
100764,1496,1,5,2023-07-30
100765,4623,40,5,2023-06-14
100766,127,43,1,2023-04-13
100767,1323,30,4,2023-08-02
100768,1320,94,1,2023-02-11
100769,848,22,1,2023-01-20
100770,2023,47,1,2023-06-22
100771,3364,64,5,2023-08-09
100772,723,36,3,2023-01-03
100773,499,82,4,2023-03-26
100774,2634,72,1,2023-01-09
100775,106,8,5,2023-07-19
100776,3690,61,3,2023-10-22
100777,1112,57,3,2023-09-06
100778,3565,18,3,2023-05-10
100779,948,81,3,2023-04-21
100780,3766,72,4,2023-11-07
100781,1362,40,2,2023-11-19
100782,4391,81,3,2023-08-05
100783,4990,62,3,2023-10-18
100784,2451,15,3,2023-09-20
100785,2732,92,4,2023-09-15
100786,4032,78,4,2023-12-14
100787,2709,24,4,2023-11-02
100788,2356,26,4,2023-08-02
100789,1094,61,5,2023-12-17
100790,3638,54,4,2023-03-23
100791,950,76,1,2023-04-06
100792,1906,39,5,2023-04-06
100793,812,25,2,2023-06-25
100794,4583,49,3,2023-03-10
100795,2798,23,2,2023-07-20
100796,3155,2,3,2023-09-16
100797,1508,98,5,2023-09-13
100798,3574,55,3,2023-09-20
100799,3148,26,5,2023-06-30
100800,4364,53,2,2023-02-20
100801,1641,2,4,2023-03-05
100802,1644,49,2,2023-10-15
100803,2573,89,5,2023-08-13
100804,2388,50,5,2023-09-11
100805,269,20,3,2023-12-22
100806,465,43,3,2023-10-13
100807,2543,28,5,2023-03-07
100808,1859,67,3,2023-06-27
100809,948,39,2,2023-06-08
100810,2230,15,3,2023-08-29
100811,1437,49,2,2023-12-19
100812,2351,93,1,2023-06-12
100813,3201,2,5,2023-09-05
100814,4264,62,5,2023-04-02
100815,4231,57,4,2023-01-25
100816,4675,47,4,2023-08-23
100817,2305,68,3,2023-04-06
100818,3596,66,1,2023-05-03
100819,4117,34,3,2023-08-04
100820,1158,17,4,2023-04-25
100821,1324,19,1,2023-09-05
100822,2881,43,4,2023-01-22
100823,806,6,1,2023-01-17
100824,313,75,5,2023-11-09
100825,497,16,3,2023-12-14
100826,512,88,4,2023-04-13
100827,2161,78,1,2023-09-22
100828,4760,93,5,2023-04-03
100829,3228,62,2,2023-05-25
100830,2252,39,2,2023-10-10
100831,401,1,2,2023-08-14
